"File","ws","EXPERIMENT.NAME","Sample.Order","PTID"
"212198.fcs","001-Y-Pheno-JK",NA,NA,NA
"212202.fcs","001-Y-Pheno-JK",NA,NA,NA
"212204.fcs","001-Y-Pheno-JK",NA,NA,NA
"212206.fcs","001-Y-Pheno-JK",NA,NA,NA
"212219.fcs","001-Y-Pheno-JK",NA,NA,NA
"212221.fcs","001-Y-Pheno-JK",NA,NA,NA
"212223.fcs","001-Y-Pheno-JK",NA,NA,NA
"212225.fcs","001-Y-Pheno-JK",NA,NA,NA
"212227.fcs","001-Y-Pheno-JK",NA,NA,NA
"212240.fcs","001-Y-Pheno-JK",NA,NA,NA
"212242.fcs","001-Y-Pheno-JK",NA,NA,NA
"212244.fcs","001-Y-Pheno-JK",NA,NA,NA
"212246.fcs","001-Y-Pheno-JK",NA,NA,NA
"212261.fcs","001-Y-Pheno-JK",NA,NA,NA
"212263.fcs","001-Y-Pheno-JK",NA,NA,NA
"212265.fcs","001-Y-Pheno-JK",NA,NA,NA
"212267.fcs","001-Y-Pheno-JK",NA,NA,NA
"212269.fcs","001-Y-Pheno-JK",NA,NA,NA
"212282.fcs","001-Y-Pheno-JK",NA,NA,NA
"212284.fcs","001-Y-Pheno-JK",NA,NA,NA
"212286.fcs","001-Y-Pheno-JK",NA,NA,NA
"212288.fcs","001-Y-Pheno-JK",NA,NA,NA
"212290.fcs","001-Y-Pheno-JK",NA,NA,NA
"213416.fcs","002-Y-Pheno-JK",NA,NA,NA
"213418.fcs","002-Y-Pheno-JK",NA,NA,NA
"213420.fcs","002-Y-Pheno-JK",NA,NA,NA
"213422.fcs","002-Y-Pheno-JK",NA,NA,NA
"213426.fcs","002-Y-Pheno-JK",NA,NA,NA
"213428.fcs","002-Y-Pheno-JK",NA,NA,NA
"213430.fcs","002-Y-Pheno-JK",NA,NA,NA
"213432.fcs","002-Y-Pheno-JK",NA,NA,NA
"213434.fcs","002-Y-Pheno-JK",NA,NA,NA
"213436.fcs","002-Y-Pheno-JK",NA,NA,NA
"213438.fcs","002-Y-Pheno-JK",NA,NA,NA
"213440.fcs","002-Y-Pheno-JK",NA,NA,NA
"213442.fcs","002-Y-Pheno-JK",NA,NA,NA
"213444.fcs","002-Y-Pheno-JK",NA,NA,NA
"213446.fcs","002-Y-Pheno-JK",NA,NA,NA
"213448.fcs","002-Y-Pheno-JK",NA,NA,NA
"213450.fcs","002-Y-Pheno-JK",NA,NA,NA
"213452.fcs","002-Y-Pheno-JK",NA,NA,NA
"213454.fcs","002-Y-Pheno-JK",NA,NA,NA
"213456.fcs","002-Y-Pheno-JK",NA,NA,NA
"213458.fcs","002-Y-Pheno-JK",NA,NA,NA
"213460.fcs","002-Y-Pheno-JK",NA,NA,NA
"213462.fcs","002-Y-Pheno-JK",NA,NA,NA
"213464.fcs","002-Y-Pheno-JK",NA,NA,NA
"214707.fcs","003-Y-Pheno-JK",NA,NA,NA
"214709.fcs","003-Y-Pheno-JK",NA,NA,NA
"214711.fcs","003-Y-Pheno-JK",NA,NA,NA
"214713.fcs","003-Y-Pheno-JK",NA,NA,NA
"214715.fcs","003-Y-Pheno-JK",NA,NA,NA
"214717.fcs","003-Y-Pheno-JK",NA,NA,NA
"214719.fcs","003-Y-Pheno-JK",NA,NA,NA
"214721.fcs","003-Y-Pheno-JK",NA,NA,NA
"214723.fcs","003-Y-Pheno-JK",NA,NA,NA
"214725.fcs","003-Y-Pheno-JK",NA,NA,NA
"214727.fcs","003-Y-Pheno-JK",NA,NA,NA
"214729.fcs","003-Y-Pheno-JK",NA,NA,NA
"214731.fcs","003-Y-Pheno-JK",NA,NA,NA
"214733.fcs","003-Y-Pheno-JK",NA,NA,NA
"214735.fcs","003-Y-Pheno-JK",NA,NA,NA
"214737.fcs","003-Y-Pheno-JK",NA,NA,NA
"214739.fcs","003-Y-Pheno-JK",NA,NA,NA
"214741.fcs","003-Y-Pheno-JK",NA,NA,NA
"214743.fcs","003-Y-Pheno-JK",NA,NA,NA
"214745.fcs","003-Y-Pheno-JK",NA,NA,NA
"214747.fcs","003-Y-Pheno-JK",NA,NA,NA
"214749.fcs","003-Y-Pheno-JK",NA,NA,NA
"214751.fcs","003-Y-Pheno-JK",NA,NA,NA
"214753.fcs","003-Y-Pheno-JK",NA,NA,NA
"214755.fcs","003-Y-Pheno-JK",NA,NA,NA
"221690.fcs","004-Y-Pheno-JK",4,1,508696
"221692.fcs","004-Y-Pheno-JK",4,2,526452
"221694.fcs","004-Y-Pheno-JK",4,3,601024
"221696.fcs","004-Y-Pheno-JK",4,4,605125
"221698.fcs","004-Y-Pheno-JK",4,5,608822
"221700.fcs","004-Y-Pheno-JK",4,6,704410
"221702.fcs","004-Y-Pheno-JK",4,7,726168
"221704.fcs","004-Y-Pheno-JK",4,8,804495
"221706.fcs","004-Y-Pheno-JK",4,9,816004
"221708.fcs","004-Y-Pheno-JK",4,10,109816
"221710.fcs","004-Y-Pheno-JK",4,11,116229
"221712.fcs","004-Y-Pheno-JK",4,12,137319
"221714.fcs","004-Y-Pheno-JK",4,13,209743
"221716.fcs","004-Y-Pheno-JK",4,14,220293
"221718.fcs","004-Y-Pheno-JK",4,15,221716
"221720.fcs","004-Y-Pheno-JK",4,16,229455
"221722.fcs","004-Y-Pheno-JK",4,17,232709
"221724.fcs","004-Y-Pheno-JK",4,18,233042
"221726.fcs","004-Y-Pheno-JK",4,19,236961
"221728.fcs","004-Y-Pheno-JK",4,20,238682
"221730.fcs","004-Y-Pheno-JK",4,21,337366
"221732.fcs","004-Y-Pheno-JK",4,22,343047
"221734.fcs","004-Y-Pheno-JK",4,23,345102
"221736.fcs","004-Y-Pheno-JK",4,24,355698
"221738.fcs","004-Y-Pheno-JK",NA,NA,NA
"222243.fcs","005-Y-Pheno-JK",5,1,424589
"222247.fcs","005-Y-Pheno-JK",5,3,500256
"222249.fcs","005-Y-Pheno-JK",5,4,508522
"222251.fcs","005-Y-Pheno-JK",5,5,509119
"222253.fcs","005-Y-Pheno-JK",5,6,511908
"222255.fcs","005-Y-Pheno-JK",5,7,604004
"222257.fcs","005-Y-Pheno-JK",5,8,629639
"222259.fcs","005-Y-Pheno-JK",5,9,826468
"222261.fcs","005-Y-Pheno-JK",5,10,839288
"222263.fcs","005-Y-Pheno-JK",5,11,842921
"222265.fcs","005-Y-Pheno-JK",5,12,851396
"222267.fcs","005-Y-Pheno-JK",5,13,214329
"222269.fcs","005-Y-Pheno-JK",5,14,223884
"222271.fcs","005-Y-Pheno-JK",5,15,232545
"222273.fcs","005-Y-Pheno-JK",5,16,235525
"222275.fcs","005-Y-Pheno-JK",5,17,243615
"222277.fcs","005-Y-Pheno-JK",5,18,300003
"222279.fcs","005-Y-Pheno-JK",5,19,305968
"222281.fcs","005-Y-Pheno-JK",5,20,307100
"222283.fcs","005-Y-Pheno-JK",5,21,313212
"222285.fcs","005-Y-Pheno-JK",5,22,335179
"222287.fcs","005-Y-Pheno-JK",5,23,345025
"222289.fcs","005-Y-Pheno-JK",5,24,355894
"222291.fcs","005-Y-Pheno-JK",NA,NA,NA
"223785.fcs","006-Y-Pheno-JK",6,1,507430
"223787.fcs","006-Y-Pheno-JK",6,2,513494
"223789.fcs","006-Y-Pheno-JK",6,3,524834
"223791.fcs","006-Y-Pheno-JK",6,4,603880
"223793.fcs","006-Y-Pheno-JK",6,5,614918
"223795.fcs","006-Y-Pheno-JK",6,6,637295
"223797.fcs","006-Y-Pheno-JK",6,7,718988
"223799.fcs","006-Y-Pheno-JK",6,8,725896
"223801.fcs","006-Y-Pheno-JK",6,9,733526
"223803.fcs","006-Y-Pheno-JK",6,10,809604
"223807.fcs","006-Y-Pheno-JK",6,12,844343
"223809.fcs","006-Y-Pheno-JK",6,13,849475
"223811.fcs","006-Y-Pheno-JK",6,14,117102
"223815.fcs","006-Y-Pheno-JK",6,16,209055
"223817.fcs","006-Y-Pheno-JK",6,17,211484
"223819.fcs","006-Y-Pheno-JK",6,18,224172
"223821.fcs","006-Y-Pheno-JK",6,19,226385
"223823.fcs","006-Y-Pheno-JK",6,20,237169
"223825.fcs","006-Y-Pheno-JK",6,21,308250
"223827.fcs","006-Y-Pheno-JK",6,22,308845
"223829.fcs","006-Y-Pheno-JK",6,23,339360
"223831.fcs","006-Y-Pheno-JK",6,24,419318
"223833.fcs","006-Y-Pheno-JK",NA,NA,NA
"227295.fcs","007-Y-Pheno-JK",7,1,425938
"227297.fcs","007-Y-Pheno-JK",7,2,517997
"227299.fcs","007-Y-Pheno-JK",7,3,625525
"227303.fcs","007-Y-Pheno-JK",7,5,641088
"227305.fcs","007-Y-Pheno-JK",7,6,645909
"227307.fcs","007-Y-Pheno-JK",7,7,703357
"227311.fcs","007-Y-Pheno-JK",7,10,725838
"227313.fcs","007-Y-Pheno-JK",7,9,710339
"227317.fcs","007-Y-Pheno-JK",7,12,822158
"227319.fcs","007-Y-Pheno-JK",7,13,110780
"227321.fcs","007-Y-Pheno-JK",7,14,112906
"227323.fcs","007-Y-Pheno-JK",7,15,127241
"227325.fcs","007-Y-Pheno-JK",7,16,129364
"227327.fcs","007-Y-Pheno-JK",7,17,233994
"227329.fcs","007-Y-Pheno-JK",7,18,240503
"227331.fcs","007-Y-Pheno-JK",7,19,317175
"227333.fcs","007-Y-Pheno-JK",7,20,320249
"227335.fcs","007-Y-Pheno-JK",7,21,343793
"227339.fcs","007-Y-Pheno-JK",7,23,357229
"227341.fcs","007-Y-Pheno-JK",7,24,405464
"227343.fcs","007-Y-Pheno-JK",NA,NA,NA
"228620.fcs","008-Y-Pheno-JK",8,1,420459
"228622.fcs","008-Y-Pheno-JK",8,2,434239
"228624.fcs","008-Y-Pheno-JK",8,3,500375
"228626.fcs","008-Y-Pheno-JK",8,4,505018
"228628.fcs","008-Y-Pheno-JK",8,5,526915
"228630.fcs","008-Y-Pheno-JK",8,6,603909
"228632.fcs","008-Y-Pheno-JK",8,7,641673
"228634.fcs","008-Y-Pheno-JK",8,8,705306
"228638.fcs","008-Y-Pheno-JK",8,10,719498
"228640.fcs","008-Y-Pheno-JK",8,11,726599
"228642.fcs","008-Y-Pheno-JK",8,12,809408
"228646.fcs","008-Y-Pheno-JK",8,14,816763
"228648.fcs","008-Y-Pheno-JK",8,15,827743
"228650.fcs","008-Y-Pheno-JK",8,16,835280
"228652.fcs","008-Y-Pheno-JK",8,17,844459
"228654.fcs","008-Y-Pheno-JK",8,18,220187
"228656.fcs","008-Y-Pheno-JK",8,19,222570
"228658.fcs","008-Y-Pheno-JK",8,20,225769
"228662.fcs","008-Y-Pheno-JK",8,22,348298
"228664.fcs","008-Y-Pheno-JK",8,23,349290
"228666.fcs","008-Y-Pheno-JK",8,24,402558
"228668.fcs","008-Y-Pheno-JK",NA,NA,NA
"230529.fcs","009-Y-Pheno-JK",9,2,512209
"230531.fcs","009-Y-Pheno-JK",9,3,626077
"230533.fcs","009-Y-Pheno-JK",9,4,629581
"230537.fcs","009-Y-Pheno-JK",9,6,737450
"230539.fcs","009-Y-Pheno-JK",9,7,803985
"230541.fcs","009-Y-Pheno-JK",9,8,825617
"230543.fcs","009-Y-Pheno-JK",9,9,843994
"230545.fcs","009-Y-Pheno-JK",9,10,845316
"230547.fcs","009-Y-Pheno-JK",9,11,124155
"230549.fcs","009-Y-Pheno-JK",9,12,132483
"230553.fcs","009-Y-Pheno-JK",9,14,206284
"230555.fcs","009-Y-Pheno-JK",9,15,211365
"230557.fcs","009-Y-Pheno-JK",9,16,212341
"230559.fcs","009-Y-Pheno-JK",9,17,215765
"230563.fcs","009-Y-Pheno-JK",9,19,247912
"230565.fcs","009-Y-Pheno-JK",9,20,320355
"230567.fcs","009-Y-Pheno-JK",9,21,324610
"230569.fcs","009-Y-Pheno-JK",9,22,405017
"230571.fcs","009-Y-Pheno-JK",9,23,405686
"230573.fcs","009-Y-Pheno-JK",9,24,411547
"230575.fcs","009-Y-Pheno-JK",NA,NA,NA
"236579.fcs","010-Y-Pheno-JK",10,1,431442
"236581.fcs","010-Y-Pheno-JK",10,2,513999
"236583.fcs","010-Y-Pheno-JK",10,3,603208
"236585.fcs","010-Y-Pheno-JK",10,4,627156
"236587.fcs","010-Y-Pheno-JK",10,5,723863
"236591.fcs","010-Y-Pheno-JK",10,7,824374
"236593.fcs","010-Y-Pheno-JK",10,8,825482
"236595.fcs","010-Y-Pheno-JK",10,9,827158
"236597.fcs","010-Y-Pheno-JK",10,10,849655
"236599.fcs","010-Y-Pheno-JK",10,11,127852
"236601.fcs","010-Y-Pheno-JK",10,12,203143
"236603.fcs","010-Y-Pheno-JK",10,13,225473
"236605.fcs","010-Y-Pheno-JK",10,14,243046
"236607.fcs","010-Y-Pheno-JK",10,15,244363
"236609.fcs","010-Y-Pheno-JK",10,16,313180
"236611.fcs","010-Y-Pheno-JK",10,17,316340
"236613.fcs","010-Y-Pheno-JK",10,18,318225
"236615.fcs","010-Y-Pheno-JK",10,19,322089
"236617.fcs","010-Y-Pheno-JK",10,20,334122
"236619.fcs","010-Y-Pheno-JK",10,21,338098
"236621.fcs","010-Y-Pheno-JK",10,22,413107
"236623.fcs","010-Y-Pheno-JK",10,23,417372
"236625.fcs","010-Y-Pheno-JK",10,24,419202
"236627.fcs","010-Y-Pheno-JK",NA,NA,NA
"237639.fcs","011-Y-Pheno-JK",11,1,432132
"237641.fcs","011-Y-Pheno-JK",11,2,505690
"237643.fcs","011-Y-Pheno-JK",11,3,517106
"237645.fcs","011-Y-Pheno-JK",11,4,520270
"237647.fcs","011-Y-Pheno-JK",11,5,526526
"237649.fcs","011-Y-Pheno-JK",11,6,610309
"237651.fcs","011-Y-Pheno-JK",11,7,627323
"237653.fcs","011-Y-Pheno-JK",11,8,631103
"237655.fcs","011-Y-Pheno-JK",11,9,635989
"237657.fcs","011-Y-Pheno-JK",11,10,639556
"237661.fcs","011-Y-Pheno-JK",11,12,701472
"237665.fcs","011-Y-Pheno-JK",11,14,800976
"237667.fcs","011-Y-Pheno-JK",11,15,823668
"237669.fcs","011-Y-Pheno-JK",11,16,119450
"237671.fcs","011-Y-Pheno-JK",11,17,135177
"237673.fcs","011-Y-Pheno-JK",11,18,226150
"237677.fcs","011-Y-Pheno-JK",11,20,304085
"237679.fcs","011-Y-Pheno-JK",11,21,333162
"237681.fcs","011-Y-Pheno-JK",11,22,403068
"237683.fcs","011-Y-Pheno-JK",11,23,404343
"237685.fcs","011-Y-Pheno-JK",11,24,412134
"237687.fcs","011-Y-Pheno-JK",NA,NA,NA
"239385.fcs","012-Y-Pheno-JK",12,1,444217
"239387.fcs","012-Y-Pheno-JK",12,2,449394
"239389.fcs","012-Y-Pheno-JK",12,3,511159
"239391.fcs","012-Y-Pheno-JK",12,4,515964
"239393.fcs","012-Y-Pheno-JK",12,5,521571
"239397.fcs","012-Y-Pheno-JK",12,7,600125
"239399.fcs","012-Y-Pheno-JK",12,8,619127
"239401.fcs","012-Y-Pheno-JK",12,9,621813
"239405.fcs","012-Y-Pheno-JK",12,11,628859
"239407.fcs","012-Y-Pheno-JK",12,12,633033
"239409.fcs","012-Y-Pheno-JK",12,13,707432
"239411.fcs","012-Y-Pheno-JK",12,14,720317
"239413.fcs","012-Y-Pheno-JK",12,15,852086
"239417.fcs","012-Y-Pheno-JK",12,17,110256
"239419.fcs","012-Y-Pheno-JK",12,18,129898
"239421.fcs","012-Y-Pheno-JK",12,19,222271
"239423.fcs","012-Y-Pheno-JK",12,20,224574
"239425.fcs","012-Y-Pheno-JK",12,21,331692
"239427.fcs","012-Y-Pheno-JK",12,22,332469
"239433.fcs","012-Y-Pheno-JK",NA,NA,NA
"247879.fcs","013-Y-Pheno-JK",13,1,423066
"247881.fcs","013-Y-Pheno-JK",13,2,428651
"247883.fcs","013-Y-Pheno-JK",13,3,504302
"247885.fcs","013-Y-Pheno-JK",13,4,506689
"247887.fcs","013-Y-Pheno-JK",13,5,518960
"247889.fcs","013-Y-Pheno-JK",13,6,510803
"247891.fcs","013-Y-Pheno-JK",13,7,522377
"247893.fcs","013-Y-Pheno-JK",13,8,526870
"247895.fcs","013-Y-Pheno-JK",13,9,615293
"247897.fcs","013-Y-Pheno-JK",13,10,622310
"247899.fcs","013-Y-Pheno-JK",13,11,616578
"247901.fcs","013-Y-Pheno-JK",13,12,645835
"247903.fcs","013-Y-Pheno-JK",13,13,707593
"247905.fcs","013-Y-Pheno-JK",13,14,726634
"247907.fcs","013-Y-Pheno-JK",13,15,744612
"247909.fcs","013-Y-Pheno-JK",13,16,118580
"247911.fcs","013-Y-Pheno-JK",13,17,217084
"247913.fcs","013-Y-Pheno-JK",13,18,227020
"247915.fcs","013-Y-Pheno-JK",13,19,304982
"247919.fcs","013-Y-Pheno-JK",13,21,315245
"247921.fcs","013-Y-Pheno-JK",13,22,328814
"247923.fcs","013-Y-Pheno-JK",13,23,351809
"247927.fcs","013-Y-Pheno-JK",NA,NA,NA
"249402.fcs","014-Y-Pheno-JK",14,2,525881
"249404.fcs","014-Y-Pheno-JK",14,3,600929
"249406.fcs","014-Y-Pheno-JK",14,4,616848
"249408.fcs","014-Y-Pheno-JK",14,5,631338
